id,fullName,shortName,category,sizing
IT001,"Wooden rocking chair with woven rattan seat, faded paint",Rocking Chair,Personal Items,Large
IT002,"Child's pink tricycle with rubber handlebar grips, missing front basket",Kid's Tricycle,Personal Items,Small
IT003,Folding metal camping cot with torn canvas sleeping surface,Camping Cot,Personal Items,Large
IT004,"Plastic outdoor storage box with broken latch, faded blue",Plastic Storage Box,Personal Items,Small
IT005,"Rattan wicker sofa frame without cushions, two-seater",Rattan Sofa Frame,Personal Items,Large
IT006,"Wooden school desk with attached chair, carved initials on surface",School Desk with Chair,Personal Items,Large
IT007,"Rusted metal fan on tall stand, blades intact, no power cord",Standing Metal Fan,Personal Items,Small
IT008,"Child's red plastic slide, sun-faded, assembled",Kids' Plastic Slide,Personal Items,Large
IT009,"Wooden chest of drawers, three drawers, missing one handle",Three-Drawer Chest,Personal Items,Large
IT010,Old Singer foot-pedal sewing machine in wooden cabinet,Foot-Pedal Sewing Machine,Personal Items,Large
IT011,"Plastic garden chair, white, one leg cracked but functional",Plastic Garden Chair,Personal Items,Small
IT012,"Bamboo daybed frame without mattress, double width",Bamboo Daybed Frame,Personal Items,Large
IT013,"Child's yellow plastic sandbox with lid, sand still inside",Plastic Sandbox with Lid,Personal Items,Small
IT014,"Rattan armchair with cushion, water-stained but intact",Rattan Armchair,Personal Items,Small
IT015,"Metal bunk bed frame, no mattresses, rust on joints",Metal Bunk Bed Frame,Personal Items,Large
IT016,"Wooden bookshelf, four shelves, handmade, unfinished wood",Handmade Wooden Bookshelf,Personal Items,Large
IT017,"Plastic toy kitchen playset, pink, complete with plastic utensils",Toy Kitchen Playset,Personal Items,Small
IT018,"Thai spirit house on wooden post, ornate ceramic design",Spirit House on Post,Personal Items,Small
IT019,"Child's blue bicycle with training wheels, 16-inch tires",Child's Bicycle with Training Wheels,Personal Items,Small
IT020,"Folding wooden dining table, seats four, one hinge broken",Folding Dining Table,Personal Items,Large
IT021,Metal clothing rack on wheels with collapsed umbrella top,Rolling Clothes Rack,Personal Items,Small
IT022,"Wooden altar cabinet with glass doors, gold painted trim",Wooden Altar Cabinet,Personal Items,Large
IT023,"Wicker laundry hamper, large oval shape, lid intact",Wicker Laundry Hamper,Personal Items,Small
IT024,"Plastic children's wagon, red, with pull rope, rusted axle",Children's Plastic Wagon,Personal Items,Small
IT025,"Wooden kitchen cabinet, two doors, painted white, peeling",Wooden Kitchen Cabinet,Personal Items,Large
IT026,"Metal single bed frame with headboard, no mattress",Single Metal Bed Frame,Personal Items,Large
IT027,"Rattan coffee table with glass top, glass cracked",Rattan Coffee Table with Cracked Glass,Personal Items,Small
IT028,"Child's wooden rocking horse, painted, tail hair missing",Wooden Rocking Horse,Personal Items,Small
IT029,"Plastic folding table, white, rectangular, seats six",Plastic Folding Table,Personal Items,Large
IT030,"Old wooden television cabinet without TV, doors intact",Wooden TV Cabinet,Personal Items,Large
IT031,"Bamboo shelving unit, five shelves, handlashed construction",Bamboo Shelf Unit,Personal Items,Large
IT032,"Metal wardrobe with two doors, paint chipping, lock broken",Metal Wardrobe,Personal Items,Large
IT033,"Plastic baby bath tub, pale yellow, no stand",Baby Bath Tub,Personal Items,Small
IT034,"Wooden stepladder, three steps, one rung cracked",Three-Step Wooden Ladder,Personal Items,Small
IT035,"Child's scooter, blue metal, rubber wheels, handle bent",Child's Metal Scooter,Personal Items,Small
IT036,"Rattan room divider, three panels, screen intact",Rattan Room Divider,Personal Items,Large
IT037,"Plastic washing basin on metal stand, large oval, faded green",Plastic Washing Basin on Stand,Personal Items,Small
IT038,"Wooden ironing board, fabric cover torn, leg hinge intact",Wooden Ironing Board,Personal Items,Large
IT039,"Metal shopping cart with plastic basket liner, one wheel wobbling",Metal Shopping Cart,Personal Items,Small
IT040,Old wooden baby crib with missing side rail slats,Wooden Baby Crib,Personal Items,Large
IT041,"Bamboo mat roll, woven pattern, six feet in length",Rolled Bamboo Mat,Personal Items,Large
IT042,"Plastic stool, red, round seat, stackable type",Round Plastic Stool,Personal Items,Small
IT043,"Metal bicycle with flat tires, adult size, no seat",Adult Metal Bicycle,Personal Items,Large
IT044,"Wicker basket with lid, large, used for clothing storage",Large Wicker Storage Basket,Personal Items,Small
IT045,"Wooden wall shelf unit, mounted type, three shelves",Wall-Mounted Wooden Shelf,Personal Items,Small
IT046,"Child's plastic rocking chair, yellow, cartoon face on back",Child's Plastic Rocking Chair,Personal Items,Small
IT047,"Metal filing cabinet, two drawers, dented side panel",Two-Drawer Metal Filing Cabinet,Personal Items,Large
IT048,"Bamboo room partition frame without screen, freestanding",Bamboo Partition Frame,Personal Items,Large
IT049,Old hand-crank ice shaving machine on wooden block base,Hand-Crank Ice Shaver,Personal Items,Small
IT050,"Rattan magazine rack, floor-standing, four-tier",Rattan Magazine Rack,Personal Items,Small
IT051,"Folding wooden clothes drying rack, multi-bar, full size",Folding Clothes Drying Rack,Personal Items,Large
IT052,"Plastic toy storage bin, large, wheeled, primary colors",Wheeled Toy Storage Bin,Personal Items,Small
IT053,"Steel safe box, small, combination lock jammed",Small Steel Safe Box,Personal Items,Small
IT054,"Bamboo fish trap, conical shape, hand-woven traditional type",Traditional Bamboo Fish Trap,Personal Items,Small
IT055,"Old wooden cradle with curved rockers, painted white",Wooden Baby Cradle,Personal Items,Small
IT056,"Metal coat rack, freestanding, five hooks, one hook bent",Metal Coat Rack,Personal Items,Small
IT057,"Plastic outdoor picnic table with attached benches, green",Plastic Picnic Table with Benches,Personal Items,Large
IT058,"Wooden vegetable crate repurposed as shelf, stacked pair",Repurposed Vegetable Crate Shelf,Personal Items,Small
IT059,"Child's inflatable bounce ring, deflated, stored in bag",Deflated Inflatable Bounce Ring,Personal Items,Small
IT060,"Old Thai traditional fishing rod holder, bamboo, wall-mount style",Bamboo Fishing Rod Holder,Personal Items,Small
IT061,"Clump of water hyacinth harvested from canal surface, fresh",Water Hyacinth Clump,Organic Matters,Small
IT062,"Bundle of dried bamboo stalks pulled from canal bank, 2m lengths",Dried Bamboo Stalk Bundle,Organic Matters,Large
IT063,Tangled mass of fishing line and net fragments from canal bottom,Tangled Fishing Net Mass,Organic Matters,Small
IT064,"Large clump of common reed grass, roots attached, canal-harvested",Canal Reed Grass Clump,Organic Matters,Small
IT065,"Decomposing coconut palm frond bundle, dried and waterlogged",Decomposed Palm Frond Bundle,Organic Matters,Large
IT066,"Pile of silt and mud dredged from canal edge, dried in sun",Dried Canal Silt Pile,Organic Matters,Small
IT067,Cluster of lotus stems and seed pods harvested from canal,Lotus Stem and Pod Cluster,Organic Matters,Small
IT068,"Waterlogged timber log recovered from canal bed, softwood",Waterlogged Canal Log,Organic Matters,Large
IT069,"Bundle of salvaged water spinach plants, roots intact",Water Spinach Bundle,Organic Matters,Small
IT070,"Mass of green algae scraped from canal wall, semi-dry",Canal Wall Algae Mass,Organic Matters,Small
IT071,Pile of dried fish scales and viscera discarded by fishermen,Dried Fish Waste Pile,Organic Matters,Small
IT072,"Collected floating organic debris: leaves, twigs, bark from canal",Mixed Canal Organic Debris,Organic Matters,Small
IT073,"Rotting wooden plank retrieved from canal, barnacle-encrusted",Barnacle-Encrusted Rotting Plank,Organic Matters,Large
IT074,"Clump of duck weed harvested from canal surface, bagged loose",Duck Weed Clump,Organic Matters,Small
IT075,"Pile of dead water lilies and lily pads, canal-harvested, drying",Dead Water Lily Pile,Organic Matters,Small
IT076,Large tangle of river grass roots pulled from canal bank,River Grass Root Tangle,Organic Matters,Small
IT077,Bundle of dried sugar cane husks washed from upstream,Dried Sugar Cane Husk Bundle,Organic Matters,Large
IT078,Matted clump of human hair and organic waste from canal filter,Organic Canal Filter Waste,Organic Matters,Small
IT079,Pile of mussel and snail shells harvested from canal stones,Canal Mussel and Snail Shells,Organic Matters,Small
IT080,"Clump of pennywort plants with roots, harvested from canal bank",Pennywort Plant Clump,Organic Matters,Small
IT081,"Decomposing banana tree trunk section, waterlogged, soft",Decomposed Banana Trunk Section,Organic Matters,Large
IT082,Pile of dried water chestnut husks discarded near canal,Dried Water Chestnut Husks,Organic Matters,Small
IT083,"Bundle of bamboo leaves and thin shoots, canal-side harvest",Bamboo Leaf and Shoot Bundle,Organic Matters,Small
IT084,Large clump of pond moss scraped from submerged canal rocks,Pond Moss Clump,Organic Matters,Small
IT085,"Dried papaya tree trunk section, hollow, salvaged from bank",Dried Papaya Trunk Section,Organic Matters,Large
IT086,"Pile of dead freshwater crab shells, sorted and dried",Dried Freshwater Crab Shells,Organic Matters,Small
IT087,Mass of water fern (Azolla) harvested from canal surface,Water Fern Mass,Organic Matters,Small
IT088,"Bundle of cattail reeds with brown seed heads, canal-harvested",Cattail Reed Bundle,Organic Matters,Large
IT089,"Decomposing wooden boat plank section, heavily waterlogged",Waterlogged Boat Plank Section,Organic Matters,Large
IT090,Pile of dried coconut husks collected from canal edge,Dried Coconut Husk Pile,Organic Matters,Small
IT091,"Clump of morning glory vine with roots, canal-bank growth",Canal Morning Glory Vine,Organic Matters,Small
IT092,Mass of snag wood and root ball dredged from canal bend,Dredged Snag Wood Root Ball,Organic Matters,Small
IT093,"Bundle of dried water mimosa branches, thorny, canal-bank",Dried Water Mimosa Bundle,Organic Matters,Large
IT094,Pile of fish bones and dried roe sacs from canal fishermen,Dried Fish Bones and Roe,Organic Matters,Small
IT095,"Floating mat of compressed aquatic vegetation, harvested block",Compressed Aquatic Vegetation Mat,Organic Matters,Large
IT096,"Bundle of river sedge grass, dried, bound with vine",River Sedge Grass Bundle,Organic Matters,Small
IT097,Pile of wet clay and organic matter from canal bank erosion,Canal Bank Erosion Clay,Organic Matters,Small
IT098,"Clump of wild taro plants with large leaves, canal-bank",Wild Taro Plant Clump,Organic Matters,Small
IT099,Bundle of dried pandanus leaves from canal-side tree,Dried Pandanus Leaf Bundle,Organic Matters,Large
IT100,Pile of sun-dried freshwater snails sorted by size,Dried Freshwater Snails,Organic Matters,Small
IT101,Decomposing jackfruit tree limb section from canal debris,Decomposed Jackfruit Limb,Organic Matters,Large
IT102,"Clump of nipa palm frond sections, dried, from canal bank",Dried Nipa Palm Frond Sections,Organic Matters,Small
IT103,Pile of dried shrimp exoskeletons from canal harvesting,Dried Shrimp Exoskeletons,Organic Matters,Small
IT104,"Bundle of water caltrop plants with roots, canal-harvested",Water Caltrop Plant Bundle,Organic Matters,Small
IT105,"Large piece of drifted mangrove wood, gnarled, bleached",Drifted Mangrove Wood Piece,Organic Matters,Large
IT106,"Pile of dried eel skins stretched flat on bamboo, sun-dried",Dried Eel Skins on Bamboo,Organic Matters,Small
IT107,Tangle of water vine (Ipomoea aquatica) roots and stems,Water Vine Root Tangle,Organic Matters,Small
IT108,"Bundle of dried floating heart plant, canal-surface harvest",Dried Floating Heart Bundle,Organic Matters,Small
IT109,"Pile of weathered coconut shells, halved, from canal edge",Weathered Coconut Shell Halves,Organic Matters,Small
IT110,Clump of giant salvinia fern harvested from still canal water,Giant Salvinia Fern Clump,Organic Matters,Small
IT111,"Rotting teak wood plank retrieved from canal, partial decay",Rotting Teak Wood Plank,Organic Matters,Large
IT112,"Bundle of wild lemongrass stalks from canal bank, aromatic",Wild Lemongrass Bundle,Organic Matters,Small
IT113,"Pile of dried mixed freshwater bivalve shells, sorted",Dried Freshwater Bivalve Shells,Organic Matters,Small
IT114,"Clump of hornwort aquatic plant, submerged growth type",Hornwort Aquatic Plant Clump,Organic Matters,Small
IT115,"Decomposing wooden fence post retrieved from canal, rotted base",Decomposed Wooden Fence Post,Organic Matters,Large
IT116,"Bundle of dried yellow flag iris from canal edge, seed pods on",Dried Yellow Flag Iris Bundle,Organic Matters,Small
IT117,Pile of canal sedimented charcoal residue from upstream burn,Canal Charcoal Sediment Pile,Organic Matters,Small
IT118,Mass of paper and cardboard pulp saturated from canal float,Saturated Paper Pulp Mass,Organic Matters,Small
IT119,"Clump of golden lotus banana plant with flower, canal bank",Golden Lotus Banana Clump,Organic Matters,Small
IT120,"Bundle of dried arrowhead plant leaves and stalks, harvested",Dried Arrowhead Plant Bundle,Organic Matters,Small
IT121,"Bale of flattened plastic PET water bottles, wire-bound, 50 units",Flattened PET Bottle Bale,Compressed Trash,Small
IT122,"Stack of crushed aluminum beer cans, 200 units, bagged in sack",Crushed Beer Can Sack,Compressed Trash,Small
IT123,"Bundle of tied corrugated cardboard boxes, flattened, 30 sheets",Flattened Cardboard Box Bundle,Compressed Trash,Large
IT124,"Compressed stack of old Thai newspapers tied with twine, 80 issues",Compressed Newspaper Bundle,Compressed Trash,Small
IT125,"Sack of crushed glass bottles sorted by color, green batch",Crushed Green Glass Bottle Sack,Compressed Trash,Small
IT126,"Bale of mixed plastic grocery bags, knotted and compressed, 500 count",Compressed Plastic Bag Bale,Compressed Trash,Small
IT127,"Stack of flattened tin food cans, label-stripped, rust-free",Flattened Tin Food Can Stack,Compressed Trash,Small
IT128,"Bundle of rolled-up used rubber tires, three units, banded",Rolled Rubber Tire Bundle,Compressed Trash,Large
IT129,"Compressed sack of plastic bottle caps, mixed colors, 2kg weight",Plastic Bottle Cap Sack,Compressed Trash,Small
IT130,"Stack of flattened cooking oil plastic jugs, 20 units, tied",Flattened Cooking Oil Jug Stack,Compressed Trash,Small
IT131,"Bundle of crushed aluminum foil food trays, 40 units, compact",Crushed Aluminum Tray Bundle,Compressed Trash,Small
IT132,"Sack of smashed transparent glass jars, condiment type, sorted",Smashed Glass Jar Sack,Compressed Trash,Small
IT133,"Stack of compressed polystyrene foam boxes, flattened, 15 units",Compressed Foam Box Stack,Compressed Trash,Large
IT134,"Bundle of rolled-up used linoleum flooring, three rolls",Rolled Linoleum Flooring Bundle,Compressed Trash,Large
