question,answer1,answer2,answer3,answer4
What is the capital of Australia?,Canberra,Not Sydney or Melbourne,,
How many bones are in the adult human body?,206,,,
What is the chemical symbol for gold?,Au,From Latin: Aurum,,
Which planet is known as the Red Planet?,Mars,,,
What year did World War II end?,1945,,,
Who painted the Mona Lisa?,Leonardo da Vinci,,,
What is the longest river in the world?,The Nile,Africa,"Approx. 6,650 km",
How many sides does a hexagon have?,6,,,
What is the speed of light in a vacuum (approx)?,"299,792,458 metres per second","About 300,000 km/s",,
Which country invented pizza?,Italy,"Naples, Italy",,
What is the smallest planet in our solar system?,Mercury,,,
Who wrote 'Romeo and Juliet'?,William Shakespeare,,,
What is the hardest natural substance on Earth?,Diamond,Score 10 on Mohs scale,,
How many continents are there on Earth?,7,"Africa, Antarctica, Asia, Australia, Europe, North America, South America",,
What gas do plants absorb from the atmosphere?,Carbon dioxide,CO2,Used in photosynthesis,
Which ocean is the largest?,Pacific Ocean,Covers about 165 million sq km,,
What is the capital of Japan?,Tokyo,,,
How many teeth does an adult human have?,32,Including wisdom teeth,,
What is the tallest mountain in the world?,Mount Everest,"8,848.86 metres",Located in Nepal,
Which element has the atomic number 1?,Hydrogen,Symbol: H,,
What is the currency of the United Kingdom?,Pound sterling,GBP,Also called 'quid' informally,
Who discovered penicillin?,Alexander Fleming,Discovered in 1928,,
What is the capital of Brazil?,Brasilia,Became capital in 1960,,
How many players are on a standard soccer team?,11,Per side on the field,,
What is the largest mammal on Earth?,Blue whale,Can reach 30 metres long,,
In what year did the Titanic sink?,1912,"April 15, 1912",,
What is the national language of Brazil?,Portuguese,,,
How many strings does a standard guitar have?,6,,,
What is the powerhouse of the cell?,Mitochondria,Produces ATP,,
Which country has the most natural lakes?,Canada,Over 60% of world's lakes,,
Who was the first person to walk on the Moon?,Neil Armstrong,"Apollo 11, July 20, 1969",,
What is the chemical formula for water?,H2O,2 hydrogen + 1 oxygen,,
How many colors are in a rainbow?,7,"Red, Orange, Yellow, Green, Blue, Indigo, Violet",,
Which animal is the fastest on land?,Cheetah,Up to 120 km/h,,
What year did the Berlin Wall fall?,1989,"November 9, 1989",,
What is the largest organ in the human body?,Skin,Approx. 2 sq metres,,
Who invented the telephone?,Alexander Graham Bell,Patent granted 1876,,
What is the capital of Canada?,Ottawa,Not Toronto or Vancouver,,
How many planets are in our solar system?,8,Pluto reclassified as dwarf planet in 2006,,
Which metal is liquid at room temperature?,Mercury,Symbol: Hg,,
Who wrote '1984'?,George Orwell,Published 1949,,
What is the smallest country in the world?,Vatican City,0.44 sq km,,
How many chromosomes do humans have?,46,23 pairs,,
What is the capital of Egypt?,Cairo,,,
Which bird cannot fly?,Ostrich,"Also: penguin, emu, kiwi",,
What is the boiling point of water at sea level?,100 degrees Celsius,212 degrees Fahrenheit,373.15 Kelvin,
Who invented the light bulb?,Thomas Edison,Patented in 1879,,
What language has the most native speakers?,Mandarin Chinese,Over 900 million native speakers,,
What is the largest planet in our solar system?,Jupiter,Mass is 318 times Earth's,,
In which year did the French Revolution begin?,1789,Storming of the Bastille,,
What is the capital of India?,New Delhi,,,
How many hearts does an octopus have?,3,2 branchial + 1 systemic,,
Who wrote 'Harry Potter'?,J.K. Rowling,First book published 1997,,
What is the longest bone in the human body?,Femur,Thigh bone,,
Which country is the largest by land area?,Russia,17.1 million sq km,,
What does DNA stand for?,Deoxyribonucleic acid,,,
What is the capital of South Africa?,Pretoria,Executive capital,"Cape Town (legislative), Bloemfontein (judicial)",
Who painted the Sistine Chapel ceiling?,Michelangelo,Completed 1512,,
How many keys does a standard piano have?,88,52 white + 36 black,,
What is the closest star to Earth?,The Sun,About 150 million km away,,
What is the national animal of Australia?,Red kangaroo,,,
Who invented the World Wide Web?,Tim Berners-Lee,Invented in 1989,,
What is the capital of Germany?,Berlin,,,
How many ounces are in a pound?,16,,,
Which element is represented by 'Fe'?,Iron,From Latin: Ferrum,,
Who was the first President of the United States?,George Washington,Served 1789-1797,,
What is the square root of 144?,12,,,
Which country is known as the Land of the Rising Sun?,Japan,Nihon in Japanese,,
What is the most spoken language in the world by total speakers?,English,Over 1.4 billion total speakers,,
How many faces does a cube have?,6,,,
What is the capital of France?,Paris,,,
Who developed the theory of general relativity?,Albert Einstein,Published 1915,,
What year did man first land on the Moon?,1969,"Apollo 11, July 20",,
How many bones are in the human hand?,27,8 carpal + 5 metacarpal + 14 phalangeal,,
What is the largest desert in the world?,Antarctica,Cold desert,Larger than the Sahara,
Which planet has the most moons?,Saturn,145 confirmed moons as of 2023,,
What is the national sport of Japan?,Sumo wrestling,,,
How many millimeters are in a centimeter?,10,,,
Who is known as the 'Father of Computers'?,Charles Babbage,Designed Difference Engine,,
What is the capital of China?,Beijing,,,
Which gas makes up the majority of Earth's atmosphere?,Nitrogen,About 78%,,
What is the currency of Japan?,Japanese Yen,JPY,100 sen per yen,
How many years are in a millennium?,"1,000",,,
